id,email,name,address,grade,tnp,twp,tt,nf,fo,mo,fq,mq,arr,attendance %,ias,fee_late,teacher_rating,previous_visits,assignment,assignment_due_date,assignment_submitted,summary_self_check_in,ge
1258,saugat21@school.com,Saugat Shah,Bharatpur,10,78,43,1.29,13,Business,Business,UM,IL,N,79.23,69,Paid,4,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","19/02/2023 04:59:59,06/03/2023 20:59:59,01/04/2023 18:59:59,17/04/2023 17:59:59","Doing normal, and Mathematics is part of my routine.",M
1259,anmol16@school.com,Anmol Rai,Biratnagar,10,39,47,0.65,3,Retired,Others,12,Degree,Y,76.54,91,Paid,2,2,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","18/02/2023 01:59:59,06/03/2023 03:59:59,29/03/2023 03:59:59,16/04/2023 17:59:59","Honestly, I'm lonely because Physics is too much right now.",F
1260,swastima16@school.com,Swastima Rai,Itahari,10,92,100,0.93,13,Service,Retired,12,Degree,N,76.49,90,Paid,2,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","19/02/2023 15:59:59,08/03/2023 18:59:59,30/03/2023 06:59:59,15/04/2023 14:59:59","Currently passionate, and Mathematics is my favorite part of the week.",F
1261,anmol17@school.com,Anmol Rai,Ghorahi,12,96,54,0.83,14,Farmer,Retired,UM,UM,N,70.92,74,Paid,5,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","12/02/2023 13:59:59,09/03/2023 23:59:59,01/04/2023 04:59:59,19/04/2023 13:59:59","Mostly a bit tired, and Mathematics is just another task.",F
1262,arpan12@school.com,Arpan Paudel,Ghorahi,11,80,45,0.18,13,Service,Service,10,IL,N,89.46,42,Paid,2,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","11/02/2023 20:59:59,06/03/2023 09:59:59,04/04/2023 15:59:59,23/04/2023 21:59:59","Lately, I've been worried because Biology is where I'm struggling the most.",F
1263,rajesh12@school.com,Rajesh Raut,Hetauda,10,21,15,1.48,4,Other,Service,Degree,10,Y,85.56,5,Paid,3,1,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 15:59:59,06/03/2023 20:59:59,02/04/2023 01:59:59,21/04/2023 13:59:59","Honestly, I'm distracted because Physics is hard to keep up with.",M
1264,paras9@school.com,Paras Rai,Biratnagar,9,60,14,0.77,6,Farmer,Others,IL,10,Y,65.29,89,Paid,2,3,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","13/02/2023 22:59:59,15/03/2023 08:59:59,26/03/2023 07:59:59,16/04/2023 23:59:59","Honestly, I'm overwhelmed because English is where I'm struggling the most.",M
1265,bipin8@school.com,Bipin Lamichhane,Hetauda,9,99,89,0.94,1,Business,Retired,12,Degree,Y,67.67,37,Overdue,4,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","13/02/2023 03:59:59,09/03/2023 16:59:59,29/03/2023 12:59:59,16/04/2023 00:59:59",I'm feeling unmotivated because Nepali is too much right now.,M
1266,aayush13@school.com,Aayush Shah,Birgunj,12,12,7,1.04,14,Service,Service,10,PG,N,69.11,51,Paid,1,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","15/02/2023 08:59:59,12/03/2023 21:59:59,29/03/2023 09:59:59,20/04/2023 20:59:59","Mostly normal, and Physics is just another task.",F
1267,rajesh13@school.com,Rajesh Paudel,Dharan,10,14,90,1.29,11,Business,Housewife,Degree,Degree,Y,97.56,44,Paid,4,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","13/02/2023 18:59:59,05/03/2023 21:59:59,28/03/2023 12:59:59,17/04/2023 23:59:59","Currently, I'm distracted because Mathematics is taking up all my energy.",M
1268,shilpa16@school.com,Shilpa Tamang,Hetauda,11,83,88,0.3,18,Retired,Service,10,PG,N,90.36,82,Paid,2,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","14/02/2023 21:59:59,11/03/2023 07:59:59,02/04/2023 07:59:59,24/04/2023 16:59:59","Doing okay, and English is just another task.",M
1269,sushma20@school.com,Sushma Shah,Hetauda,10,25,68,1.58,8,Retired,Service,12,12,Y,96.64,66,Paid,4,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","16/02/2023 20:59:59,08/03/2023 05:59:59,31/03/2023 13:59:59,19/04/2023 19:59:59",I'm feeling frustrated because Chemistry is where I'm struggling the most.,M
1270,barsha12@school.com,Barsha Tamang,Kathmandu,9,75,60,0.33,3,Service,Service,UM,Degree,Y,63.79,23,Overdue,4,4,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","24/02/2023 04:59:59,23/03/2023 04:59:59,04/04/2023 16:59:59,24/04/2023 09:59:59","To be fair, I'm hopeless because Biology is too much right now.",M
1271,swastima17@school.com,Swastima Rai,Dharan,11,87,90,1.06,9,Business,Business,10,UM,N,98.38,93,Paid,3,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","13/02/2023 09:59:59,07/03/2023 05:59:59,29/03/2023 23:59:59,24/04/2023 13:59:59","Currently proud, and Biology is helping me learn a lot.",M
1272,paras10@school.com,Paras Adhikari,Kathmandu,10,92,95,0.97,17,Farmer,Business,PG,PG,Y,65.29,76,Paid,4,2,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","13/02/2023 10:59:59,09/03/2023 03:59:59,02/04/2023 18:59:59,15/04/2023 14:59:59","To be fair, I'm very tired because Mathematics is too much right now.",M
1273,priyanka15@school.com,Priyanka Thapa,Janakpur,12,88,87,0.3,11,Service,Housewife,PG,12,N,86.3,89,Paid,2,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","15/02/2023 16:59:59,09/03/2023 14:59:59,30/03/2023 03:59:59,18/04/2023 01:59:59","I'm resilient, and Mathematics is manageable.",M
1274,namrata17@school.com,Namrata KC,Pokhara,12,46,34,1.1,3,Other,Service,12,Degree,N,98.19,83,Paid,3,1,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","14/02/2023 03:59:59,09/03/2023 05:59:59,02/04/2023 13:59:59,21/04/2023 03:59:59","Mostly neutral, and Biology is following the plan.",M
1275,keki15@school.com,Keki Magar,Janakpur,12,19,46,0.1,2,Business,Housewife,PG,Degree,Y,68.81,44,Overdue,4,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","18/02/2023 03:59:59,08/03/2023 01:59:59,01/04/2023 05:59:59,17/04/2023 07:59:59","Honestly, I'm distracted because Chemistry is hard to keep up with.",F
1276,paras11@school.com,Paras Adhikari,Ghorahi,9,85,95,1.49,5,Farmer,Retired,PG,IL,N,89.95,90,Paid,1,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","11/02/2023 12:59:59,12/03/2023 01:59:59,28/03/2023 22:59:59,19/04/2023 04:59:59","Currently focused, and Physics is my favorite part of the week.",F
1277,rekha11@school.com,Rekha Basnet,Birgunj,12,2,98,0.46,18,Farmer,Housewife,12,Degree,N,94.46,35,Paid,1,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","14/02/2023 20:59:59,08/03/2023 11:59:59,30/03/2023 13:59:59,19/04/2023 08:59:59","Lately, I've been disinterested because Mathematics is where I'm struggling the most.",M
1278,bipin9@school.com,Bipin Shrestha,Janakpur,9,86,95,1.48,13,Other,Service,IL,10,N,88.29,86,Paid,2,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","11/02/2023 17:59:59,13/03/2023 16:59:59,30/03/2023 02:59:59,18/04/2023 15:59:59","I feel determined, and Biology is my favorite part of the week.",F
1279,priyanka16@school.com,Priyanka Gurung,Ghorahi,10,88,86,1.39,8,Retired,Housewife,UM,Degree,N,87.84,87,Paid,3,1,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","15/02/2023 02:59:59,05/03/2023 12:59:59,02/04/2023 20:59:59,15/04/2023 08:59:59","Currently passionate, and Physics is my favorite part of the week.",M
1280,keki16@school.com,Keki Gurung,Ghorahi,11,99,91,0.55,9,Service,Service,PG,UM,N,95.91,84,Overdue,2,1,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","12/02/2023 09:59:59,12/03/2023 13:59:59,03/04/2023 07:59:59,25/04/2023 07:59:59","I'm feeling doing as usual, and Physics is staying the same.",F
1281,sandeep12@school.com,Sandeep Khadka,Kathmandu,11,82,95,0.37,9,Retired,Others,UM,PG,N,85.09,99,Paid,5,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","12/02/2023 23:59:59,06/03/2023 19:59:59,01/04/2023 10:59:59,22/04/2023 23:59:59","Genuinely proud, and Physics is really interesting.",M
1282,shilpa17@school.com,Shilpa Rai,Kathmandu,11,35,91,0.62,5,Business,Others,PG,Degree,N,83.64,12,Overdue,1,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","11/02/2023 20:59:59,09/03/2023 16:59:59,30/03/2023 13:59:59,23/04/2023 20:59:59","To be fair, I'm isolated because Physics is hard to keep up with.",M
1283,bipin10@school.com,Bipin Tamang,Lalitpur,11,54,93,1.88,17,Service,Retired,UM,10,Y,67.37,73,Overdue,4,4,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","15/02/2023 15:59:59,08/03/2023 10:59:59,31/03/2023 17:59:59,25/04/2023 03:59:59","Currently, I'm burnt out because Biology is taking up all my energy.",F
1284,shrinkhala14@school.com,Shrinkhala KC,Hetauda,11,95,88,0.49,1,Business,Retired,Degree,Degree,N,87.05,94,Paid,1,2,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","14/02/2023 00:59:59,09/03/2023 04:59:59,29/03/2023 12:59:59,22/04/2023 03:59:59","I feel confident, and Biology is going well.",F
1285,rekha12@school.com,Rekha Paudel,Itahari,11,25,78,1.74,3,Other,Retired,10,10,Y,93.59,52,Paid,5,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","13/02/2023 23:59:59,08/03/2023 18:59:59,02/04/2023 10:59:59,21/04/2023 23:59:59",I'm feeling frustrated because English is where I'm struggling the most.,F
1286,rajesh14@school.com,Rajesh Lamichhane,Dharan,11,6,16,0.48,10,Service,Service,Degree,10,N,73.47,68,Paid,3,1,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","13/02/2023 19:59:59,12/03/2023 17:59:59,30/03/2023 03:59:59,26/04/2023 14:59:59","Things are alright, and Biology is following the plan.",M
1287,shilpa18@school.com,Shilpa Raut,Biratnagar,11,62,52,0.31,10,Business,Housewife,Degree,Degree,Y,73.68,54,Paid,3,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","14/02/2023 04:59:59,10/03/2023 18:59:59,31/03/2023 11:59:59,23/04/2023 00:59:59",I'm feeling burnt out because Physics is causing me some anxiety.,M
1288,dayahang9@school.com,Dayahang Gurung,Butwal,12,84,63,0.42,3,Farmer,Service,12,12,Y,62.17,40,Paid,4,6,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","24/02/2023 17:59:59,19/03/2023 13:59:59,05/04/2023 14:59:59,25/04/2023 19:59:59","Honestly, I'm hopeless because Mathematics is where I'm struggling the most.",F
1289,arpan13@school.com,Arpan Paudel,Lalitpur,10,46,89,1.94,15,Other,Business,PG,PG,Y,85.11,5,Paid,5,2,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","19/02/2023 01:59:59,09/03/2023 04:59:59,28/03/2023 12:59:59,20/04/2023 09:59:59","Honestly, I'm overwhelmed because Physics is where I'm struggling the most.",F
1290,swastima18@school.com,Swastima Basnet,Ghorahi,12,95,60,0.41,16,Farmer,Retired,IL,PG,Y,42.89,37,Paid,3,6,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","28/02/2023 14:59:59,24/03/2023 17:59:59,10/04/2023 20:59:59,03/05/2023 08:59:59",I'm feeling burnt out because Mathematics is causing me some anxiety.,F
1291,shilpa19@school.com,Shilpa Tamang,Janakpur,10,85,67,0.37,10,Other,Others,UM,Degree,Y,55.49,39,Paid,4,7,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","26/02/2023 21:59:59,19/03/2023 02:59:59,05/04/2023 20:59:59,25/04/2023 23:59:59","Lately, I've been tense because Mathematics is causing me some anxiety.",M
1292,rekha13@school.com,Rekha Gurung,Lalitpur,10,19,1,0.83,9,Service,Business,PG,10,N,91.77,26,Paid,1,1,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","13/02/2023 23:59:59,04/03/2023 16:59:59,28/03/2023 18:59:59,16/04/2023 04:59:59","To be fair, I'm lonely because Physics is stressing me out.",M
1293,rekha14@school.com,Rekha Khatiwada,Biratnagar,12,85,96,1.43,13,Service,Housewife,10,UM,N,90.57,88,Paid,2,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","13/02/2023 00:59:59,12/03/2023 06:59:59,27/03/2023 11:59:59,23/04/2023 14:59:59","Everything is great, especially since confident, and Mathematics is really interesting.",M
1294,aayush14@school.com,Aayush Paudel,Butwal,12,82,65,0.37,17,Service,Housewife,UM,PG,Y,56.59,26,Paid,2,9,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","26/02/2023 03:59:59,23/03/2023 18:59:59,03/04/2023 23:59:59,27/04/2023 15:59:59","To be fair, I'm worried because Mathematics is too much right now.",F
1295,nischal13@school.com,Nischal Adhikari,Janakpur,11,41,27,1.46,1,Retired,Retired,10,12,Y,87.2,15,Paid,1,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","15/02/2023 17:59:59,12/03/2023 03:59:59,02/04/2023 11:59:59,26/04/2023 20:59:59","Honestly, I'm disinterested because Physics is stressing me out.",M
1296,sandeep13@school.com,Sandeep Hamal,Ghorahi,11,96,93,1.59,18,Service,Business,UM,PG,N,98.16,95,Paid,1,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","13/02/2023 05:59:59,12/03/2023 18:59:59,31/03/2023 04:59:59,23/04/2023 00:59:59","I feel eager, and Biology is my favorite part of the week.",M
1297,bipin11@school.com,Bipin Hamal,Dharan,9,91,92,1.63,10,Retired,Business,IL,12,N,91.4,85,Paid,5,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","14/02/2023 05:59:59,13/03/2023 09:59:59,31/03/2023 12:59:59,19/04/2023 02:59:59","Mostly fine, and Nepali is staying the same.",F
1298,barsha13@school.com,Barsha Malla,Pokhara,9,96,94,1.52,13,Service,Retired,12,UM,N,94.65,90,Paid,2,2,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","13/02/2023 10:59:59,09/03/2023 11:59:59,29/03/2023 04:59:59,15/04/2023 05:59:59","Feeling proud, and Biology is really interesting.",M
1299,sandeep14@school.com,Sandeep Paudel,Dhangadhi,11,86,92,0.37,15,Farmer,Others,12,12,N,86.41,98,Paid,1,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","13/02/2023 12:59:59,07/03/2023 23:59:59,02/04/2023 11:59:59,26/04/2023 19:59:59","I feel resilient, and English is manageable.",M
1300,keki17@school.com,Keki Lamichhane,Itahari,11,86,81,0.88,15,Other,Others,Degree,UM,Y,91.88,38,Overdue,4,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","11/02/2023 14:59:59,10/03/2023 02:59:59,31/03/2023 15:59:59,24/04/2023 00:59:59","To be fair, I'm stressed because Biology is confusing for me.",F
1301,saugat22@school.com,Saugat Raut,Ghorahi,11,95,54,1.59,11,Retired,Housewife,10,12,Y,54.88,41,Overdue,3,6,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","20/02/2023 01:59:59,20/03/2023 16:59:59,12/04/2023 16:59:59,03/05/2023 07:59:59",I'm feeling worried because Physics is too much right now.,M
1302,swastima19@school.com,Swastima Magar,Itahari,10,95,58,0.69,6,Other,Service,IL,Degree,Y,53.37,39,Overdue,3,4,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","02/03/2023 00:59:59,13/03/2023 19:59:59,04/04/2023 00:59:59,24/04/2023 12:59:59","Currently, I'm exhausted because Chemistry is hard to keep up with.",M
1303,sandeep15@school.com,Sandeep Hamal,Hetauda,11,93,45,1.92,3,Retired,Others,12,12,N,98.26,62,Paid,3,4,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","17/02/2023 15:59:59,09/03/2023 02:59:59,03/04/2023 15:59:59,25/04/2023 19:59:59","Things are steady, and Biology is part of my routine.",F
1304,sandeep16@school.com,Sandeep Adhikari,Itahari,9,88,87,1.16,3,Business,Housewife,10,10,N,91.6,88,Paid,5,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 20:59:59,09/03/2023 13:59:59,30/03/2023 11:59:59,15/04/2023 05:59:59","Feeling determined, and Nepali is going well.",F
1305,dayahang10@school.com,Dayahang KC,Hetauda,11,78,43,1.34,3,Other,Business,12,UM,N,62.44,85,Paid,4,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","15/02/2023 21:59:59,12/03/2023 21:59:59,01/04/2023 15:59:59,24/04/2023 05:59:59","Honestly, I'm hopeless because Biology is stressing me out.",F
1306,rajesh15@school.com,Rajesh Adhikari,Dhangadhi,9,36,49,1.03,3,Farmer,Business,12,PG,Y,80.26,82,Paid,5,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","13/02/2023 12:59:59,15/03/2023 09:59:59,28/03/2023 16:59:59,20/04/2023 09:59:59","To be fair, I'm tense because Physics is stressing me out.",F
